id,fails,passes,Priority,CreatedDate,Steps,LastResult
225,7,3,3,2021-09-14,25,1
226,6,6,3,2021-08-03,30,0
227,6,4,2,2021-08-13,27,0
228,10,2,3,2021-11-21,18,0
229,6,6,3,2021-10-05,9,1
230,7,7,1,2021-09-22,7,0
231,3,9,2,2021-08-26,6,0
232,8,4,1,2021-10-15,15,1
233,2,3,3,2021-10-07,23,0
234,8,1,3,2021-12-12,22,0
235,7,8,2,2021-11-23,12,0
236,5,10,2,2021-10-14,4,0
237,9,1,3,2021-09-10,23,1
238,5,2,2,2021-12-09,19,1
239,8,7,1,2021-09-09,1,0
240,1,1,2,2021-08-31,26,1
241,1,6,1,2021-11-03,9,1
242,9,3,3,2021-08-05,29,1
243,9,10,3,2021-08-06,8,1
244,9,1,2,2021-09-28,7,0
245,3,1,2,2021-11-09,12,0
246,7,10,1,2021-11-30,22,1
247,2,9,2,2021-09-30,21,1
248,1,1,1,2021-11-03,11,0
249,6,8,1,2021-11-13,20,0
250,1,10,1,2021-10-28,29,0
251,4,3,1,2021-12-27,18,1
252,2,10,3,2021-08-26,10,0
253,10,9,3,2021-09-06,30,1
254,2,7,2,2021-10-13,23,0
255,10,4,2,2021-10-04,15,1
256,2,10,1,2021-09-20,9,1
257,4,9,1,2021-09-08,1,1
258,7,3,1,2021-11-13,30,0
259,5,5,1,2021-09-25,7,0
260,5,2,2,2021-10-04,1,1
261,8,7,3,2021-09-04,3,0
262,9,9,2,2021-12-13,6,0
263,5,8,1,2021-08-24,6,0
264,7,1,1,2021-11-10,26,1
265,9,3,3,2021-10-09,4,0
266,6,4,1,2021-08-31,24,0
267,1,6,1,2021-12-29,20,1
268,6,8,2,2021-10-19,21,0
269,5,2,1,2021-12-03,29,0
270,2,9,2,2021-09-20,10,1
271,10,10,2,2021-08-23,13,1
272,10,10,1,2021-08-25,17,0
273,9,1,3,2021-09-21,13,0
274,4,4,2,2021-11-15,20,1
275,6,6,1,2021-09-26,5,1
276,5,6,3,2021-09-30,19,0
277,9,9,2,2021-09-18,18,1
278,9,1,2,2021-08-22,29,1
279,10,5,1,2021-11-06,15,1
280,6,10,2,2021-08-20,27,1
281,7,4,3,2021-10-18,9,1
282,4,4,1,2021-11-29,19,0
283,1,1,3,2021-12-02,21,0
284,3,2,3,2021-09-03,21,1
285,5,9,1,2021-09-07,29,1
286,10,1,3,2021-08-18,26,1
287,1,3,1,2021-09-18,24,1
288,7,6,3,2021-09-09,13,1
289,4,6,1,2021-11-24,13,0
290,8,10,1,2021-12-15,4,0
291,1,1,1,2021-09-06,28,0
292,2,7,1,2021-08-13,9,0
293,3,8,2,2021-12-25,15,0
294,7,3,1,2021-11-03,4,1
295,4,7,2,2021-09-29,14,0
296,2,3,1,2021-10-03,25,1
297,2,5,3,2021-10-26,22,1
298,1,2,1,2021-11-12,18,0
299,8,7,1,2021-09-09,3,1
300,5,10,3,2021-10-15,28,1
301,10,5,3,2021-11-04,20,0
302,10,6,3,2021-08-11,23,0
303,1,2,2,2021-10-31,22,1
304,1,8,1,2021-10-02,21,0
305,10,2,2,2021-09-27,21,1
306,1,8,1,2021-09-14,20,0
307,5,2,3,2021-08-14,3,1
308,7,10,2,2021-08-03,20,1
309,1,2,2,2021-09-06,8,0
310,6,10,2,2021-11-12,28,0
311,5,8,3,2021-09-05,29,1
312,2,1,2,2021-08-02,29,1
313,3,3,2,2021-09-12,2,0
314,1,7,1,2021-10-19,27,1
315,1,10,1,2021-10-09,7,1
316,1,6,2,2021-10-16,10,1
317,2,9,3,2021-09-15,20,0
318,3,8,3,2021-08-09,17,1
319,10,9,1,2021-08-20,25,0
320,5,9,3,2021-08-29,22,1
321,7,3,1,2021-08-24,15,0
322,2,3,3,2021-10-25,4,0
323,2,1,3,2021-12-22,7,1
324,7,2,3,2021-12-04,29,0
325,8,7,1,2021-10-23,28,1
326,2,7,1,2021-08-28,10,1
327,1,8,2,2021-08-22,19,1
328,1,6,2,2021-12-09,8,0
329,7,9,3,2021-11-08,7,1
330,3,8,2,2021-10-08,16,1
331,7,1,2,2021-08-12,12,1
332,10,10,3,2021-09-03,19,1
333,9,1,1,2021-08-27,30,0
334,1,3,1,2021-08-24,10,0
335,7,3,1,2021-12-02,8,1
336,8,1,3,2021-08-26,10,1
337,3,2,1,2021-09-24,24,0
338,1,9,1,2021-10-22,8,1
339,6,6,2,2021-09-05,24,0
340,6,7,1,2021-12-05,17,1
341,8,2,2,2021-12-30,21,0
342,2,10,1,2021-12-05,20,1
343,5,1,3,2021-11-05,8,0
344,2,7,3,2021-12-29,12,0
345,7,5,3,2021-12-15,4,1
346,3,7,2,2021-11-20,17,1
347,1,3,3,2021-08-23,21,1
348,3,2,2,2021-11-27,4,0
349,8,7,2,2021-12-27,3,1
350,3,8,2,2021-09-29,5,0
351,1,10,1,2021-09-27,6,0
352,3,7,1,2021-12-04,28,1
353,6,9,2,2021-08-11,19,1
354,8,4,1,2021-12-22,26,1
355,2,4,2,2021-10-24,21,0
356,3,3,1,2021-11-01,13,0
357,10,6,1,2021-09-01,24,1
358,1,5,1,2021-08-11,12,1
359,6,1,3,2021-11-03,11,0
360,1,7,3,2021-12-27,15,1
361,9,7,1,2021-10-29,1,1
362,9,5,1,2021-09-24,10,1
363,1,2,2,2021-08-13,28,1
364,7,6,1,2021-12-18,5,1
365,9,10,1,2021-08-06,26,1
366,1,2,3,2021-08-30,21,1
367,8,1,2,2021-08-08,3,1
368,9,3,2,2021-09-15,17,0
369,1,3,3,2021-10-15,10,1
370,3,1,3,2021-08-13,29,0
371,10,9,2,2021-10-17,1,1
372,4,3,2,2021-12-24,4,0
373,8,5,2,2021-09-10,24,0
374,8,8,3,2021-08-24,2,1
375,5,4,1,2021-10-06,18,0
376,8,3,2,2021-11-02,30,1
377,4,9,1,2021-09-06,26,1
378,4,3,3,2021-09-17,3,0
379,5,1,3,2021-08-13,16,1
380,6,6,2,2021-08-05,10,0
381,3,1,2,2021-09-08,11,1
382,8,3,2,2021-09-24,17,0
383,6,10,2,2021-10-04,4,0
384,2,1,1,2021-09-24,14,0
385,9,8,1,2021-08-17,4,1
386,7,7,2,2021-09-21,12,1
387,5,1,3,2021-12-04,15,0
388,6,5,3,2021-09-22,30,0
389,9,6,1,2021-11-16,1,0
390,9,10,2,2021-09-11,23,1
391,8,10,3,2021-10-14,19,1
392,2,6,3,2021-10-14,13,0
393,10,9,2,2021-11-16,18,1
394,6,4,3,2021-08-12,30,0
395,3,2,1,2021-08-07,21,1
396,9,7,3,2021-08-18,7,1
397,6,3,2,2021-12-02,21,1
398,4,3,1,2021-09-12,8,0
399,3,8,3,2021-11-03,17,0
400,8,7,3,2021-09-11,16,0
401,9,5,2,2021-11-28,4,1
402,8,5,1,2021-08-23,21,0
403,5,2,2,2021-11-01,14,1
404,10,5,2,2021-08-19,26,1
405,3,5,1,2021-11-07,13,0
406,8,8,2,2021-10-15,13,0
407,10,7,1,2021-08-08,18,0
408,8,7,3,2021-11-19,13,1
409,8,6,2,2021-09-13,16,0
410,10,4,3,2021-09-16,10,1
411,8,7,1,2021-10-09,4,1
412,4,10,2,2021-08-10,21,1
413,1,2,3,2021-10-01,28,0
414,7,6,2,2021-10-27,26,0
415,2,3,1,2021-09-17,15,0
416,10,8,1,2021-10-05,13,1
417,6,6,2,2021-09-22,17,1
418,5,2,3,2021-10-09,5,0
419,4,10,1,2021-08-24,24,1
420,7,1,1,2021-08-07,18,1
421,2,3,2,2021-11-07,27,1
422,5,8,2,2021-10-27,9,1
423,9,9,3,2021-12-27,10,1
424,2,7,2,2021-09-22,10,0
425,5,4,3,2021-09-09,19,1
426,2,4,3,2021-11-04,7,1
427,9,10,2,2021-09-11,30,1
428,6,5,2,2021-08-02,10,0
429,9,4,2,2021-10-21,24,0
430,4,1,2,2021-10-16,15,1
431,1,4,1,2021-08-22,21,1
432,10,5,1,2021-12-31,8,0
433,6,9,1,2021-10-31,3,0
434,1,8,3,2021-12-29,18,1
435,9,4,2,2021-09-24,10,0
436,5,9,1,2021-11-26,22,1
437,8,6,2,2021-12-01,4,1
438,4,8,1,2021-08-21,4,0
439,3,1,3,2021-10-29,12,1
440,1,7,2,2021-08-15,29,0
441,2,6,2,2021-09-21,26,1
442,6,1,2,2021-09-09,20,0
443,7,8,3,2021-09-06,10,0
444,4,10,1,2021-10-19,29,0
445,2,9,1,2021-12-03,13,0
446,4,7,2,2021-09-03,2,1
447,5,7,2,2021-12-24,4,0
448,6,10,1,2021-11-03,15,0
449,6,3,2,2021-11-26,2,1
450,7,2,1,2021-09-27,16,1
451,5,5,1,2021-08-12,18,1
452,4,2,3,2021-09-06,22,1
453,2,5,1,2021-11-02,26,0
454,10,4,2,2021-09-21,12,1
455,8,2,2,2021-11-15,7,0
456,3,5,3,2021-12-07,4,0
457,5,6,3,2021-12-14,28,1
458,6,2,1,2021-08-22,11,1
459,3,3,1,2021-12-05,27,1
460,5,8,2,2021-12-29,20,1
461,4,3,2,2021-11-13,6,1
462,8,2,1,2021-09-19,14,0
463,8,5,3,2021-09-12,13,0
464,1,3,1,2021-09-07,27,1
465,8,1,2,2021-08-19,9,1
466,10,3,1,2021-12-28,18,1
467,2,5,3,2021-10-30,29,0
468,4,10,1,2021-08-29,4,0
469,1,8,3,2021-11-18,28,0
470,9,10,1,2021-08-03,19,1
471,10,2,1,2021-10-14,15,0
472,2,9,3,2021-12-15,29,1
473,4,5,2,2021-10-28,29,0
474,9,6,1,2021-10-28,18,1
475,5,8,3,2021-12-06,25,1
476,8,10,1,2021-09-13,17,0
477,8,4,1,2021-08-18,1,0
478,1,7,3,2021-10-21,3,1
479,6,7,3,2021-11-20,11,1
480,2,9,2,2021-08-25,10,1
481,10,6,3,2021-09-03,17,1
482,4,4,3,2021-10-31,13,1
483,8,10,2,2021-10-23,27,1
484,2,8,3,2021-08-08,1,1
485,2,2,3,2021-12-05,29,0
486,9,10,2,2021-12-15,10,1
487,7,8,3,2021-11-05,16,1
488,5,7,1,2021-11-15,9,1
489,6,3,1,2021-08-19,12,0
490,2,4,3,2021-08-06,11,0
491,3,9,3,2021-11-06,29,0
492,10,7,3,2021-11-10,5,0
493,7,1,3,2021-09-04,26,0
494,1,9,2,2021-11-12,27,0
495,1,7,2,2021-09-27,16,0
496,3,5,3,2021-08-19,25,1
497,10,7,2,2021-08-14,24,1
498,6,2,1,2021-12-03,5,0
499,8,3,2,2021-08-15,22,1
500,2,10,2,2021-11-05,30,1
501,9,3,2,2021-11-06,17,1
502,8,1,3,2021-10-01,19,1
503,4,9,3,2021-09-02,18,1
504,5,8,2,2021-12-12,7,1
505,5,2,2,2021-08-19,14,0
506,3,10,2,2021-09-15,15,0
507,4,5,2,2021-09-25,6,0
508,1,2,3,2021-12-19,2,0
509,8,1,3,2021-08-31,12,1
510,2,2,2,2021-10-28,16,0
511,9,5,3,2021-12-17,9,0
512,2,10,2,2021-10-23,6,1
513,3,2,1,2021-12-30,16,1
514,2,5,3,2021-08-15,23,1
515,9,5,2,2021-08-04,24,0
516,6,4,2,2021-09-18,25,0
517,3,5,2,2021-09-21,4,1
518,2,1,1,2021-09-20,8,1
519,5,1,3,2021-08-25,15,0
520,8,2,1,2021-09-06,2,0
521,7,10,3,2021-09-26,4,0
522,4,3,1,2021-09-29,9,0
523,10,9,2,2021-11-08,9,0
524,4,5,1,2021-09-07,28,1
525,9,6,3,2021-12-02,9,1
526,2,10,2,2021-08-10,16,1
527,2,8,2,2021-09-12,12,1
528,10,5,2,2021-08-10,29,0
529,2,10,3,2021-08-08,20,1
530,4,10,2,2021-11-24,12,0
531,4,8,2,2021-08-02,4,0
532,3,7,3,2021-11-21,24,0
533,5,3,3,2021-10-24,10,0
534,5,10,1,2021-09-28,15,1
535,6,3,3,2021-12-15,2,1
536,4,3,1,2021-09-05,16,0
537,10,3,1,2021-11-29,3,1
538,7,7,1,2021-09-27,23,0
539,9,5,3,2021-12-18,11,1
540,7,5,1,2021-08-27,26,1
541,7,1,1,2021-10-19,19,0
542,6,1,3,2021-10-25,3,1
543,6,2,2,2021-08-07,30,1
544,7,1,3,2021-12-04,19,0
545,1,8,2,2021-08-31,26,1
546,1,4,1,2021-10-18,12,1
547,4,10,2,2021-09-08,8,1
548,3,10,1,2021-10-13,24,1
549,9,10,2,2021-10-07,9,0
550,1,1,2,2021-09-24,23,0
551,4,5,1,2021-12-12,7,1
552,5,8,1,2021-09-09,18,0
553,4,4,2,2021-09-01,10,0
554,8,6,1,2021-12-09,13,1
555,4,8,3,2021-11-11,20,0
556,10,9,2,2021-08-03,7,0
557,9,7,3,2021-12-07,30,0
558,8,6,3,2021-11-22,18,1
559,4,6,1,2021-12-17,14,1
560,5,10,3,2021-11-30,18,0
561,10,6,2,2021-12-26,4,0
562,9,7,3,2021-11-22,23,1
563,8,2,2,2021-11-03,17,1
564,7,8,3,2021-08-06,18,0
565,3,1,2,2021-12-08,26,1
566,7,3,2,2021-10-20,23,1
567,7,3,2,2021-12-04,14,1
568,10,3,3,2021-10-12,26,0
569,6,9,3,2021-08-17,19,1
570,6,1,3,2021-09-14,25,0
571,2,5,3,2021-10-16,17,1
572,5,1,3,2021-11-24,3,0
573,7,7,1,2021-11-29,10,0
574,9,3,3,2021-10-04,1,0
575,9,7,2,2021-08-29,21,1
576,5,3,3,2021-09-04,3,1
577,6,3,3,2021-11-08,4,1
578,5,3,3,2021-12-30,25,0
579,4,3,3,2021-11-24,25,1
580,8,6,2,2021-12-12,6,0
581,2,10,1,2021-11-15,15,0
582,3,5,2,2021-12-24,14,1
583,5,2,2,2021-12-24,23,0
584,4,6,2,2021-10-06,28,0
585,8,1,2,2021-10-14,29,0
586,8,9,1,2021-10-22,30,1
587,2,2,3,2021-10-05,12,0
588,9,3,1,2021-10-17,20,0
589,9,5,3,2021-11-28,3,0
590,10,3,3,2021-12-16,29,1
591,5,4,3,2021-08-19,17,1
592,3,4,1,2021-08-17,16,1
593,3,4,1,2021-10-31,19,0
594,6,3,3,2021-11-12,7,0
595,8,4,2,2021-09-07,5,1
596,6,5,2,2021-09-10,18,0
597,7,8,1,2021-12-15,17,1
598,1,6,2,2021-11-06,14,1
599,7,8,3,2021-10-11,6,0
600,5,3,3,2021-08-31,16,1
601,4,5,2,2021-12-13,16,0
602,2,3,2,2021-11-16,4,1
603,9,9,1,2021-09-17,18,0
604,9,1,1,2021-11-12,19,0
605,6,8,1,2021-12-22,8,0
606,8,7,1,2021-08-02,29,1
607,2,1,3,2021-12-11,20,1
608,9,6,3,2021-10-30,28,1
609,7,1,2,2021-11-21,10,0
610,5,3,1,2021-11-21,24,0
611,9,6,2,2021-09-01,30,0
612,3,4,2,2021-11-09,11,0
613,1,9,2,2021-09-06,3,0
614,4,8,2,2021-09-30,21,1
615,10,2,3,2021-08-09,10,1
616,2,8,1,2021-12-21,29,0
617,9,6,1,2021-11-28,19,0
618,9,6,1,2021-10-08,24,1
619,4,7,2,2021-09-11,17,0
620,2,4,3,2021-08-21,26,0
621,10,8,2,2021-12-06,5,0
622,4,6,1,2021-11-02,10,1
623,2,5,2,2021-12-25,1,1
624,8,1,1,2021-12-22,7,0
625,3,3,2,2021-08-09,9,0
626,10,1,1,2021-11-04,28,0
627,3,10,1,2021-11-19,25,1
628,9,9,2,2021-09-04,19,1
629,10,9,3,2021-10-09,28,1
630,8,3,2,2021-11-13,16,1
631,2,2,1,2021-12-09,12,1
632,2,8,1,2021-08-09,28,1
633,8,5,1,2021-09-23,15,1
634,9,7,3,2021-09-21,15,1
635,10,3,1,2021-10-09,22,1
636,2,10,3,2021-09-11,13,1
637,9,10,3,2021-10-17,1,0
638,10,4,3,2021-08-10,27,1
639,1,8,3,2021-08-27,3,1
640,9,9,1,2021-11-07,24,0
641,8,4,3,2021-09-20,29,0
642,6,3,2,2021-12-26,6,1
643,9,3,1,2021-09-12,13,0
644,5,9,2,2021-12-23,5,1
645,6,4,3,2021-12-10,2,0
646,3,4,1,2021-08-21,15,1
647,1,6,3,2021-10-27,25,1
648,8,2,2,2021-11-19,1,0
649,5,10,3,2021-12-14,20,0
650,10,9,1,2021-08-23,18,1
651,10,1,3,2021-11-15,6,1
652,2,5,1,2021-08-27,8,1
653,7,7,1,2021-09-24,17,0
654,6,8,3,2021-09-08,19,0
655,9,6,3,2021-11-20,11,0
656,10,10,3,2021-08-15,30,1
657,3,1,3,2021-11-03,15,1
658,9,6,1,2021-11-23,18,0
659,5,8,3,2021-10-17,7,0
660,7,9,2,2021-08-09,18,1
661,7,10,2,2021-08-28,29,0
662,4,6,2,2021-08-12,28,0
663,1,10,1,2021-11-19,25,1
664,6,8,1,2021-11-06,30,1
665,8,6,1,2021-11-07,9,1
666,5,7,1,2021-08-05,10,0
667,10,1,2,2021-09-28,5,1
668,2,3,1,2021-11-30,8,0
669,10,7,1,2021-09-18,12,0
670,1,6,3,2021-12-25,29,0
671,10,10,2,2021-09-27,23,1
672,10,5,1,2021-11-10,19,1
673,9,6,2,2021-10-11,3,1
674,2,2,1,2021-10-01,3,1
675,7,7,1,2021-11-06,22,0
676,9,5,3,2021-12-24,19,1
677,9,5,2,2021-09-28,12,0
678,10,3,2,2021-08-19,30,1
679,10,10,2,2021-09-24,1,1
680,2,10,1,2021-12-03,20,1
681,2,7,3,2021-12-07,18,1
682,1,5,1,2021-09-01,21,0
683,4,1,1,2021-11-01,14,1
684,6,2,3,2021-08-18,27,0
685,9,1,1,2021-12-10,4,0
686,2,8,2,2021-11-09,15,0
687,4,1,2,2021-09-18,18,0
688,5,3,3,2021-11-20,16,1
689,3,10,1,2021-11-14,7,1
690,4,7,3,2021-10-17,27,1
691,7,8,1,2021-08-16,8,1
692,10,7,1,2021-12-09,1,0
693,2,7,1,2021-08-06,3,0
694,2,1,2,2021-09-18,18,0
695,2,4,3,2021-10-29,2,0
696,8,8,2,2021-10-22,4,0
697,1,8,2,2021-11-15,13,1
698,7,3,2,2021-09-08,11,0
699,3,7,1,2021-12-25,20,0
700,1,7,3,2021-08-08,17,0
701,9,4,3,2021-08-10,10,0
702,4,7,2,2021-12-21,22,0
703,6,9,2,2021-12-06,1,1
704,1,9,3,2021-09-12,20,1
705,1,4,3,2021-09-03,30,1
706,8,2,2,2021-10-28,4,1
707,2,9,2,2021-08-26,1,0
708,3,1,1,2021-11-01,9,0
709,1,10,1,2021-08-04,15,1
710,10,8,1,2021-10-17,18,0
711,1,7,1,2021-08-17,13,1
712,5,10,2,2021-12-09,2,0
713,10,6,1,2021-10-30,23,0
714,8,2,3,2021-09-10,19,1
715,2,6,3,2021-08-15,15,0
716,5,1,1,2021-09-30,25,1
717,7,10,1,2021-11-14,6,1
718,9,1,1,2021-11-24,5,1
719,3,3,1,2021-11-08,24,0
720,9,4,1,2021-12-21,23,1
721,4,6,2,2021-12-25,5,0
722,4,1,1,2021-11-04,2,1
723,4,5,3,2021-12-06,24,0
724,8,9,1,2021-12-16,1,0
725,7,10,1,2021-08-16,15,1
726,10,8,1,2021-12-03,7,1
727,4,2,1,2021-09-03,25,1
728,6,10,1,2021-10-29,30,0
729,5,8,3,2021-08-12,4,0
730,10,7,2,2021-10-19,11,1
731,5,7,2,2021-09-21,27,1
732,7,9,3,2021-11-29,23,0
733,10,10,2,2021-09-11,21,0
734,10,5,1,2021-09-26,29,1
735,4,5,3,2021-10-18,29,0
736,3,2,3,2021-10-13,19,0
737,6,5,2,2021-11-24,16,0
738,10,2,1,2021-11-21,11,0
739,10,3,1,2021-09-23,4,0
740,9,2,3,2021-11-30,15,0
741,10,5,2,2021-10-16,20,0
742,8,8,2,2021-12-18,28,1
743,9,7,3,2021-10-08,21,1
744,10,7,3,2021-11-14,24,0
745,10,3,1,2021-08-07,12,0
746,7,8,2,2021-10-18,1,0
747,8,10,1,2021-12-06,19,0
748,5,7,2,2021-08-20,27,0
749,1,4,1,2021-08-25,26,1
750,5,8,3,2021-11-19,1,0
751,4,2,1,2021-12-22,20,1
752,4,3,3,2021-12-17,5,1
753,7,1,1,2021-09-25,29,1
754,8,5,1,2021-12-16,18,1
755,9,4,3,2021-08-09,4,0
756,4,8,2,2021-12-06,11,0
757,10,7,1,2021-09-15,14,1
758,4,2,2,2021-09-07,17,1
759,9,4,2,2021-12-15,27,0
760,2,1,1,2021-12-02,17,1
761,3,4,2,2021-10-01,18,0
762,1,3,3,2021-08-25,18,0
763,6,5,3,2021-11-25,9,1
764,7,1,3,2021-08-31,17,1
765,9,5,3,2021-10-06,27,1
766,6,9,2,2021-09-12,21,1
767,9,9,1,2021-08-13,13,0
768,7,4,1,2021-09-30,12,0
769,4,4,2,2021-10-14,22,0
770,7,5,3,2021-11-19,19,0
771,6,10,3,2021-11-06,13,0
772,10,3,1,2021-08-17,20,0
773,3,10,3,2021-10-26,26,0
774,1,2,1,2021-11-07,27,0
775,5,1,2,2021-12-02,1,0
776,4,1,1,2021-08-07,2,1
777,2,6,2,2021-08-28,17,1
778,5,9,2,2021-11-12,18,1
779,7,1,1,2021-12-09,1,1
780,8,5,3,2021-08-04,17,1
781,1,4,1,2021-09-09,11,1
782,9,9,3,2021-09-03,12,0
783,7,10,3,2021-09-20,22,0
784,1,7,2,2021-08-15,19,1
785,9,3,2,2021-09-16,15,1
786,8,3,3,2021-11-19,5,1
787,10,7,2,2021-09-11,29,1
788,6,8,3,2021-12-25,18,1
789,4,9,1,2021-09-16,13,0
790,2,4,3,2021-11-02,13,1
791,4,4,3,2021-12-19,7,1
792,9,4,2,2021-12-10,19,1
793,10,9,1,2021-10-15,3,1
794,1,1,1,2021-10-03,6,1
795,7,5,3,2021-09-19,22,0
796,10,9,1,2021-11-16,22,1
797,7,8,2,2021-11-08,5,1
798,9,2,3,2021-10-30,4,0
799,6,2,1,2021-08-24,21,0
800,3,9,2,2021-12-28,4,0
801,10,7,3,2021-11-03,7,0
802,9,7,1,2021-10-01,17,1
803,8,3,3,2021-12-13,24,1
804,3,9,3,2021-09-14,16,0
805,3,7,1,2021-08-15,2,0
806,5,2,3,2021-10-28,20,0
807,8,8,3,2021-11-18,30,1
808,7,9,1,2021-10-26,27,0
809,1,1,2,2021-08-25,21,1
810,9,4,3,2021-08-09,28,0
811,2,5,3,2021-12-13,17,0
812,4,2,1,2021-08-19,12,1
813,5,8,2,2021-09-29,22,0
814,9,1,1,2021-09-24,19,0
815,10,2,3,2021-11-10,25,0
816,1,5,3,2021-11-13,5,0
817,10,7,1,2021-11-03,11,1
818,4,3,2,2021-12-04,7,0
819,3,9,2,2021-10-25,19,0
820,6,1,3,2021-11-12,5,1
821,7,4,2,2021-12-02,1,1
822,10,7,1,2021-12-14,5,1
823,3,4,1,2021-12-29,4,1
824,10,7,3,2021-11-14,14,1
825,8,4,2,2021-11-22,17,0
826,8,5,2,2021-12-02,5,1
827,9,1,3,2021-08-08,28,1
828,4,1,3,2021-10-08,20,1
829,10,4,2,2021-08-03,29,1
830,8,4,3,2021-10-25,1,1
831,4,5,1,2021-08-24,2,0
832,6,7,3,2021-10-17,14,0
